SOAP.k25.C1045664	SOAP.k25.C1045664^POLX_TOBAC
TRINITY_DN2411_c0_g1_i7	TRINITY_DN2411_c0_g1_i7^RIBF2_ARATH^FAD_syn
TRINITY_DN24142_c0_g1_i6	TRINITY_DN24142_c0_g1_i6^CIPK3_ARATH
TRINITY_DN2415_c0_g1_i12	TRINITY_DN2415_c0_g1_i12^Alba
TRINITY_DN2416_c0_g1_i6	TRINITY_DN2416_c0_g1_i6^ORR23_ORYSI^Response_reg
TRINITY_DN2421_c0_g1_i1	TRINITY_DN2421_c0_g1_i1^HSF24_SOLPE^HSF_DNA-bind
TRINITY_DN24223_c0_g1_i13	TRINITY_DN24223_c0_g1_i13^LIP2_ARATH^Abhydro_lipase
TRINITY_DN2425_c1_g2_i1	TRINITY_DN2425_c1_g2_i1^GINT1_ARATH^Glyco_transf_64
TRINITY_DN2425_c1_g4_i1	TRINITY_DN2425_c1_g4_i1^WRK22_ARATH^WRKY
TRINITY_DN2425_c2_g1_i23	TRINITY_DN2425_c2_g1_i23^NAA25_ARATH^NatB_MDM20
TRINITY_DN2426_c0_g1_i33	TRINITY_DN2426_c0_g1_i33^WEB1_ARATH^WEMBL
TRINITY_DN2427_c0_g1_i14	TRINITY_DN2427_c0_g1_i14^ASPR1_ORYSJ^Asp
TRINITY_DN2427_c1_g1_i13	TRINITY_DN2427_c1_g1_i13^SYIC_ARATH
TRINITY_DN24302_c0_g1_i4	TRINITY_DN24302_c0_g1_i4^HMGB9_ARATH^HMG_box_2
TRINITY_DN24330_c0_g1_i11	TRINITY_DN24330_c0_g1_i11^TPR_16
TRINITY_DN24352_c0_g2_i1	TRINITY_DN24352_c0_g2_i1^POL2_DROME^Asp_protease_2^RVT_1^Retrotrans_gag
TRINITY_DN2436_c0_g1_i9	TRINITY_DN2436_c0_g1_i9^SURE_FLAPJ^SurE
TRINITY_DN2436_c0_g3_i1	TRINITY_DN2436_c0_g3_i1^NPC6_ARATH^Phosphoesterase
TRINITY_DN2437_c0_g1_i10	TRINITY_DN2437_c0_g1_i10^IPYR4_ARATH^Pyrophosphatase
TRINITY_DN2439_c0_g1_i16	TRINITY_DN2439_c0_g1_i16^GIP2_NICBE^TAXi_N
TRINITY_DN24425_c0_g1_i4	TRINITY_DN24425_c0_g1_i4^Rce1-like
TRINITY_DN2442_c0_g2_i12	TRINITY_DN2442_c0_g2_i12^C3H17_ARATH^zf-CCCH_3
TRINITY_DN2443_c0_g1_i17	TRINITY_DN2443_c0_g1_i17^SIS8_ARATH^PAS_8
TRINITY_DN24478_c0_g1_i1	TRINITY_DN24478_c0_g1_i1^CALSB_ARATH
TRINITY_DN24479_c0_g1_i1	TRINITY_DN24479_c0_g1_i1^ATPAM_SOYBN^ATP-synt_ab_N
TRINITY_DN24479_c0_g1_i2	TRINITY_DN24479_c0_g1_i2^ATPAM_PEA^ATP-synt_ab
TRINITY_DN24480_c0_g1_i1	TRINITY_DN24480_c0_g1_i1^RRP36_NEMVE
TRINITY_DN2449_c0_g1_i25	TRINITY_DN2449_c0_g1_i25^RL71_ARATH^Ribosomal_L30_N
TRINITY_DN2450_c0_g1_i4	TRINITY_DN2450_c0_g1_i4^GATL1_ARATH^Glyco_transf_8
TRINITY_DN2450_c1_g1_i40	TRINITY_DN2450_c1_g1_i40^MYB5_ARATH^EFP_BRADU^EFP_N^Myb_DNA-binding
TRINITY_DN2451_c0_g1_i6	TRINITY_DN2451_c0_g1_i6^FBT1_ARATH^BT1
TRINITY_DN2453_c0_g2_i10	TRINITY_DN2453_c0_g2_i10^MPRO1_ARATH^Peptidase_M3
TRINITY_DN2454_c0_g1_i10	TRINITY_DN2454_c0_g1_i10^PABP5_ARATH^RRM_5
TRINITY_DN24570_c0_g1_i3	TRINITY_DN24570_c0_g1_i3^PSB4_ARATH^Proteasome
TRINITY_DN24587_c0_g1_i3	TRINITY_DN24587_c0_g1_i3^PHT45_ORYSJ
TRINITY_DN245_c0_g1_i10	TRINITY_DN245_c0_g1_i10^HIDM_GLYEC^BD-FAE^COesterase
TRINITY_DN245_c2_g1_i8	TRINITY_DN245_c2_g1_i8^XB35_ARATH^Ank
TRINITY_DN24600_c0_g1_i1	TRINITY_DN24600_c0_g1_i1^MYB14_ARATH^Myb_DNA-binding
TRINITY_DN2460_c1_g1_i5	TRINITY_DN2460_c1_g1_i5^SR45A_ARATH^RRM_1
TRINITY_DN24617_c0_g1_i1	TRINITY_DN24617_c0_g1_i1^AGL18_ARATH^SRF-TF
TRINITY_DN24632_c0_g2_i1	TRINITY_DN24632_c0_g2_i1^Retrotran_gag_2
TRINITY_DN2463_c1_g1_i1	TRINITY_DN2463_c1_g1_i1^RH15_ARATH^DEAD
TRINITY_DN24643_c0_g1_i1	TRINITY_DN24643_c0_g1_i1^AB22G_ARATH^ABC2_membrane_7
TRINITY_DN2464_c0_g1_i1	TRINITY_DN2464_c0_g1_i1^Peptidase_C15
TRINITY_DN24656_c0_g1_i1	TRINITY_DN24656_c0_g1_i1^HDG1_ARATH^ANL2_ARATH^START
TRINITY_DN24669_c0_g1_i3	TRINITY_DN24669_c0_g1_i3^RD22_ARATH^BURP
TRINITY_DN24669_c0_g2_i2	TRINITY_DN24669_c0_g2_i2^RD22_ARATH^BURP
TRINITY_DN24690_c0_g1_i1	TRINITY_DN24690_c0_g1_i1^PO21_NASVI^RVT_1
TRINITY_DN24717_c0_g1_i1	TRINITY_DN24717_c0_g1_i1^KNAP3_MALDO
TRINITY_DN24749_c0_g1_i6	TRINITY_DN24749_c0_g1_i6^VATF_ARATH
TRINITY_DN2477_c0_g1_i9	TRINITY_DN2477_c0_g1_i9^BZP29_ARATH^CCD61_ARATH^Cyclin_N^bZIP_2
TRINITY_DN24785_c0_g1_i1	TRINITY_DN24785_c0_g1_i1^M860_ARATH
TRINITY_DN24823_c1_g1_i1	TRINITY_DN24823_c1_g1_i1^ACCH1_ARATH^DIOX_N
TRINITY_DN2482_c0_g1_i5	TRINITY_DN2482_c0_g1_i5^SYPC_ARATH
TRINITY_DN24839_c0_g1_i18	TRINITY_DN24839_c0_g1_i18^MAIL1_ARATH^PMD
TRINITY_DN2484_c0_g1_i19	TRINITY_DN2484_c0_g1_i19^PIN5_ARATH^Mem_trans
TRINITY_DN2490_c0_g2_i4	TRINITY_DN2490_c0_g2_i4^CDPK3_ARATH^Pkinase
TRINITY_DN24918_c0_g1_i1	TRINITY_DN24918_c0_g1_i1^OTC_PEA^OTCace_N
TRINITY_DN2491_c0_g3_i1	TRINITY_DN2491_c0_g3_i1^ARF2A_SOLLC
TRINITY_DN2499_c0_g1_i15	TRINITY_DN2499_c0_g1_i15^GCP6_MOUSE^GCP_N_terminal
TRINITY_DN249_c0_g1_i8	TRINITY_DN249_c0_g1_i8^IDM1_ARATH^TDBD
TRINITY_DN24_c1_g1_i3	TRINITY_DN24_c1_g1_i3^FBK8_ARATH^F-box
TRINITY_DN25049_c0_g1_i1	TRINITY_DN25049_c0_g1_i1^Ty3_capsid
TRINITY_DN2505_c0_g2_i10	TRINITY_DN2505_c0_g2_i10^URGT5_ARATH
TRINITY_DN2508_c0_g1_i6	TRINITY_DN2508_c0_g1_i6^VAP42_ARATH^Motile_Sperm
TRINITY_DN2511_c0_g1_i18	TRINITY_DN2511_c0_g1_i18^HMA
TRINITY_DN2513_c0_g1_i31	TRINITY_DN2513_c0_g1_i31^5NTC_DICDI^5_nucleotid
TRINITY_DN2513_c0_g1_i34	TRINITY_DN2513_c0_g1_i34^5NTC_DICDI^5_nucleotid
TRINITY_DN25147_c0_g3_i2	TRINITY_DN25147_c0_g3_i2^FANCM_ARATH^Helicase_C
TRINITY_DN25179_c0_g1_i28	TRINITY_DN25179_c0_g1_i28^PPR
TRINITY_DN2517_c0_g1_i1	TRINITY_DN2517_c0_g1_i1^CB4C_ARATH^Chloroa_b-bind
TRINITY_DN25193_c0_g1_i8	TRINITY_DN25193_c0_g1_i8^NAC81_ARATH^NAM
TRINITY_DN251_c0_g1_i14	TRINITY_DN251_c0_g1_i14^CD48B_ARATH^AAA
TRINITY_DN251_c0_g1_i23	TRINITY_DN251_c0_g1_i23^POLX_TOBAC
TRINITY_DN25200_c0_g1_i1	TRINITY_DN25200_c0_g1_i1^Y3475_ARATH^PK_Tyr_Ser-Thr
TRINITY_DN25214_c0_g1_i2	TRINITY_DN25214_c0_g1_i2^SSL2_ARATH^SSL_N
TRINITY_DN25224_c1_g1_i1	TRINITY_DN25224_c1_g1_i1^PGG
TRINITY_DN25233_c0_g2_i1	TRINITY_DN25233_c0_g2_i1^YTX2_XENLA
TRINITY_DN25239_c0_g1_i1	TRINITY_DN25239_c0_g1_i1^YLS8_ARATH
TRINITY_DN2523_c0_g1_i1	TRINITY_DN2523_c0_g1_i1^BALDH_ANTMA^NORK_MEDTR^Aldedh^Pkinase
TRINITY_DN2523_c1_g1_i9	TRINITY_DN2523_c1_g1_i9^SRK2A_ARATH^Pkinase
TRINITY_DN2532_c1_g2_i8	TRINITY_DN2532_c1_g2_i8^RDR1_ARATH^RdRP
TRINITY_DN25344_c1_g1_i2	TRINITY_DN25344_c1_g1_i2^ACT1_ACACA^Actin
TRINITY_DN25344_c1_g1_i3	TRINITY_DN25344_c1_g1_i3^ACT1_ACACA^Actin
TRINITY_DN2534_c0_g1_i7	TRINITY_DN2534_c0_g1_i7^ECH2M_ARATH^ECH_1
TRINITY_DN2535_c0_g1_i3	TRINITY_DN2535_c0_g1_i3^Y5390_ARATH
TRINITY_DN25378_c0_g1_i1	TRINITY_DN25378_c0_g1_i1^TI236_ARATH
TRINITY_DN2538_c0_g1_i4	TRINITY_DN2538_c0_g1_i4^DELA1_MEDTR^GRAS
TRINITY_DN253_c0_g1_i15	TRINITY_DN253_c0_g1_i15^VILI4_ARATH^Gelsolin
TRINITY_DN2542_c1_g1_i13	TRINITY_DN2542_c1_g1_i13^TM120_DICDI^TMPIT
TRINITY_DN2542_c3_g1_i8	TRINITY_DN2542_c3_g1_i8^ASPG1_ARATH^Asp
TRINITY_DN2544_c0_g1_i1	TRINITY_DN2544_c0_g1_i1^SWT13_ARATH^MtN3_slv
TRINITY_DN2547_c1_g1_i8	TRINITY_DN2547_c1_g1_i8^AIRP2_ARATH^zf-C3HC4_3
TRINITY_DN2548_c0_g1_i3	TRINITY_DN2548_c0_g1_i3^PLATZ
TRINITY_DN2552_c0_g1_i7	TRINITY_DN2552_c0_g1_i7^AVPX_ARATH^H_PPase
TRINITY_DN2553_c0_g1_i10	TRINITY_DN2553_c0_g1_i10^RENT3_ARATH^Smg4_UPF3
TRINITY_DN2553_c0_g1_i8	TRINITY_DN2553_c0_g1_i8^RENT3_ARATH^Smg4_UPF3
TRINITY_DN25547_c0_g1_i1	TRINITY_DN25547_c0_g1_i1^VPS2C_ARATH
TRINITY_DN2555_c0_g1_i2	TRINITY_DN2555_c0_g1_i2^NMT1_ARATH^NMT
TRINITY_DN2555_c0_g1_i3	TRINITY_DN2555_c0_g1_i3^NMT1_ARATH^NMT
TRINITY_DN2557_c0_g1_i4	TRINITY_DN2557_c0_g1_i4^PATL3_ARATH^CRAL_TRIO_N
TRINITY_DN25580_c0_g1_i1	TRINITY_DN25580_c0_g1_i1^BH020_ARATH^BH019_ARATH
TRINITY_DN255_c0_g2_i11	TRINITY_DN255_c0_g2_i11^WDR25_HUMAN^WD40
TRINITY_DN255_c0_g2_i15	TRINITY_DN255_c0_g2_i15^WDR25_HUMAN^PNRC^WD40
TRINITY_DN25631_c0_g1_i1	TRINITY_DN25631_c0_g1_i1^SLX1_XENLA^GIY-YIG
TRINITY_DN2565_c0_g1_i5	TRINITY_DN2565_c0_g1_i5^COPD_ARATH
TRINITY_DN2568_c1_g1_i5	TRINITY_DN2568_c1_g1_i5^POLR1_ARATH
TRINITY_DN25696_c0_g1_i1	TRINITY_DN25696_c0_g1_i1^RNHX1_ARATH^RVT_3
TRINITY_DN2570_c1_g5_i2	TRINITY_DN2570_c1_g5_i2^UBC4_ARATH^UQ_con
TRINITY_DN25746_c0_g1_i1	TRINITY_DN25746_c0_g1_i1^LAC1_AGABI^Cu-oxidase_3
TRINITY_DN2574_c0_g1_i4	TRINITY_DN2574_c0_g1_i4^OEP24_PEA
TRINITY_DN25793_c0_g1_i2	TRINITY_DN25793_c0_g1_i2^ITN1_ARATH
TRINITY_DN257_c0_g1_i58	TRINITY_DN257_c0_g1_i58^GBP4_DANRE^GBP
TRINITY_DN25827_c0_g1_i1	TRINITY_DN25827_c0_g1_i1^POLR1_ARATH^RVT_2
TRINITY_DN2585_c0_g1_i2	TRINITY_DN2585_c0_g1_i2^EXOL2_ARATH^Phi_1
TRINITY_DN2587_c0_g1_i16	TRINITY_DN2587_c0_g1_i16^FRS10_ARATH^FAR1
TRINITY_DN2588_c3_g1_i6	TRINITY_DN2588_c3_g1_i6^DEAH5_ARATH^S1
TRINITY_DN258_c16_g1_i1	TRINITY_DN258_c16_g1_i1^PHSL1_SOLTU
TRINITY_DN25943_c0_g1_i7	TRINITY_DN25943_c0_g1_i7^DRL19_ARATH^NB-ARC
TRINITY_DN2597_c0_g1_i29	TRINITY_DN2597_c0_g1_i29^RS261_ARATH
TRINITY_DN2597_c11_g1_i1	TRINITY_DN2597_c11_g1_i1^RS261_ARATH
TRINITY_DN25981_c0_g1_i1	TRINITY_DN25981_c0_g1_i1^RPV1_VITRO^NB-ARC
TRINITY_DN25984_c0_g1_i13	TRINITY_DN25984_c0_g1_i13^FDH1_ORYSJ^2-Hacid_dh
TRINITY_DN25988_c0_g1_i1	TRINITY_DN25988_c0_g1_i1^NORK_MEDTR
TRINITY_DN25988_c0_g2_i2	TRINITY_DN25988_c0_g2_i2^BRK1_ARATH
TRINITY_DN2598_c2_g1_i1	TRINITY_DN2598_c2_g1_i1^SAU72_ARATH^Auxin_inducible
TRINITY_DN26001_c0_g1_i1	TRINITY_DN26001_c0_g1_i1^CCD33_ARATH^Cyclin_N
TRINITY_DN26001_c0_g1_i5	TRINITY_DN26001_c0_g1_i5^CCD31_ARATH^Cyclin_N
TRINITY_DN2601_c0_g1_i13	TRINITY_DN2601_c0_g1_i13^CDS1_SOLTU^CTP_transf_1
TRINITY_DN2602_c0_g1_i1	TRINITY_DN2602_c0_g1_i1^SMXL6_ARATH^AAA_2
TRINITY_DN2603_c0_g1_i21	TRINITY_DN2603_c0_g1_i21^ATG10_ARATH^Autophagy_act_C
TRINITY_DN26041_c0_g1_i7	TRINITY_DN26041_c0_g1_i7^EIX2_SOLLC^LRRNT_2
TRINITY_DN2604_c0_g1_i55	TRINITY_DN2604_c0_g1_i55^AKT2_ARATH^Ion_trans
TRINITY_DN26065_c0_g1_i1	TRINITY_DN26065_c0_g1_i1^Y5639_ARATH^LRRNT_2
TRINITY_DN26078_c0_g1_i1	TRINITY_DN26078_c0_g1_i1^HIPL1_ARATH^GSDH
TRINITY_DN26084_c0_g2_i1	TRINITY_DN26084_c0_g2_i1^ZFP2_ARATH^zf-C2H2_6
TRINITY_DN2608_c1_g2_i10	TRINITY_DN2608_c1_g2_i10^AHP1_ARATH
TRINITY_DN26097_c0_g1_i21	TRINITY_DN26097_c0_g1_i21^EB1B_ARATH^CH
TRINITY_DN26100_c0_g1_i2	TRINITY_DN26100_c0_g1_i2^zf-RVT
TRINITY_DN2611_c0_g1_i26	TRINITY_DN2611_c0_g1_i26^HSP16_SOYBN^CS
TRINITY_DN26121_c0_g1_i1	TRINITY_DN26121_c0_g1_i1^PP423_ARATH^PPR
TRINITY_DN2612_c0_g2_i12	TRINITY_DN2612_c0_g2_i12^DGK5_ARATH^DAGK_cat
TRINITY_DN2613_c0_g1_i10	TRINITY_DN2613_c0_g1_i10^AAE17_ARATH^AAE1_CANSA^AMP-binding
TRINITY_DN2613_c0_g1_i14	TRINITY_DN2613_c0_g1_i14^AAE17_ARATH
TRINITY_DN26148_c0_g1_i11	TRINITY_DN26148_c0_g1_i11^PP197_ARATH^PPR^Retrotran_gag_3
TRINITY_DN26148_c0_g1_i14	TRINITY_DN26148_c0_g1_i14^PP197_ARATH^PPR^Retrotran_gag_3
TRINITY_DN26151_c0_g1_i1	TRINITY_DN26151_c0_g1_i1^PIP21_PEA^Kunitz_legume
TRINITY_DN26156_c0_g1_i2	TRINITY_DN26156_c0_g1_i2^POLR2_ARATH
TRINITY_DN2615_c0_g1_i4	TRINITY_DN2615_c0_g1_i4^HSP21_SOYBN^HSP20
TRINITY_DN26165_c0_g1_i5	TRINITY_DN26165_c0_g1_i5^PUF
TRINITY_DN26170_c0_g1_i3	TRINITY_DN26170_c0_g1_i3^GLO1_ARATH^FMN_dh
TRINITY_DN26175_c0_g1_i1	TRINITY_DN26175_c0_g1_i1^Y5005_ARATH^Pkinase
TRINITY_DN26200_c0_g1_i1	TRINITY_DN26200_c0_g1_i1^CB2_DUNTE^Chloroa_b-bind
TRINITY_DN26200_c0_g1_i2	TRINITY_DN26200_c0_g1_i2^CB2_DUNTE^CB2_CHLRE^Chloroa_b-bind
TRINITY_DN26205_c0_g1_i3	TRINITY_DN26205_c0_g1_i3^AB7I_ARATH
TRINITY_DN2621_c0_g1_i7	TRINITY_DN2621_c0_g1_i7^GPPL3_ARATH^Hydrolase
TRINITY_DN26222_c1_g1_i2	TRINITY_DN26222_c1_g1_i2^CR26L_ARATH^Transferase
TRINITY_DN26229_c0_g2_i1	TRINITY_DN26229_c0_g2_i1^POL_CSVMV
TRINITY_DN2622_c0_g1_i2	TRINITY_DN2622_c0_g1_i2^FB60_ARATH^F-box-like
TRINITY_DN2623_c0_g1_i1	TRINITY_DN2623_c0_g1_i1^RMR2_ORYSJ^zf-RING_2
TRINITY_DN26287_c0_g2_i4	TRINITY_DN26287_c0_g2_i4^TGA10_TOBAC
TRINITY_DN26291_c1_g1_i1	TRINITY_DN26291_c1_g1_i1^PCP_HUMAN^Peptidase_S28
TRINITY_DN2629_c0_g1_i8	TRINITY_DN2629_c0_g1_i8^ZDP_ARATH^zf-PARP
TRINITY_DN2631_c0_g1_i28	TRINITY_DN2631_c0_g1_i28^NAGLU_ARATH^NAGLU_N
TRINITY_DN26332_c0_g1_i1	TRINITY_DN26332_c0_g1_i1^UNI_ARATH^NB-ARC
TRINITY_DN2633_c0_g1_i13	TRINITY_DN2633_c0_g1_i13^LBD31_ARATH
TRINITY_DN26358_c0_g1_i1	TRINITY_DN26358_c0_g1_i1^KN10B_ARATH^Kinesin
TRINITY_DN2635_c0_g1_i7	TRINITY_DN2635_c0_g1_i7^CASTO_LOTJA^Castor_Poll_mid
TRINITY_DN26360_c0_g1_i2	TRINITY_DN26360_c0_g1_i2^GAOX2_ARATH^DIOX_N
TRINITY_DN263_c0_g1_i11	TRINITY_DN263_c0_g1_i11^DRL42_ARATH^NB-ARC
TRINITY_DN26402_c0_g2_i3	TRINITY_DN26402_c0_g2_i3^HMGR1_PANGI
TRINITY_DN26455_c0_g1_i6	TRINITY_DN26455_c0_g1_i6^KAT1_PETHY^Thiolase_N
TRINITY_DN26481_c0_g1_i1	TRINITY_DN26481_c0_g1_i1^DUF4378
TRINITY_DN26503_c0_g1_i12	TRINITY_DN26503_c0_g1_i12^RS29_ARATH
TRINITY_DN26540_c0_g4_i1	TRINITY_DN26540_c0_g4_i1^POLR1_ARATH^Retrotran_gag_3
TRINITY_DN26589_c1_g1_i1	TRINITY_DN26589_c1_g1_i1^Retrotran_gag_2
TRINITY_DN265_c0_g1_i122	TRINITY_DN265_c0_g1_i122^NHX6_ARATH
TRINITY_DN26610_c0_g1_i2	TRINITY_DN26610_c0_g1_i2^IRX7_ARATH^Exostosin
TRINITY_DN26613_c0_g2_i1	TRINITY_DN26613_c0_g2_i1^NT101_ARATH^GNAT_acetyltr_2
TRINITY_DN2661_c1_g1_i8	TRINITY_DN2661_c1_g1_i8^LEA65_ARATH
TRINITY_DN2661_c1_g1_i9	TRINITY_DN2661_c1_g1_i9^LEA65_ARATH
TRINITY_DN2664_c2_g1_i10	TRINITY_DN2664_c2_g1_i10^IQD9_ARATH^IQD10_ARATH
TRINITY_DN2669_c0_g1_i2	TRINITY_DN2669_c0_g1_i2^UXT1_ARATH^TPT
TRINITY_DN2670_c0_g1_i17	TRINITY_DN2670_c0_g1_i17^RAD4_ARATH^Rad4
TRINITY_DN2672_c0_g2_i1	TRINITY_DN2672_c0_g2_i1^MAKR1_ARATH
TRINITY_DN2673_c2_g1_i5	TRINITY_DN2673_c2_g1_i5^SBT1_SOYBN^Peptidase_S8
TRINITY_DN26747_c0_g3_i1	TRINITY_DN26747_c0_g3_i1^PER52_ARATH^peroxidase
TRINITY_DN2674_c1_g1_i11	TRINITY_DN2674_c1_g1_i11^ROG1_YEAST^DUF676
TRINITY_DN26757_c8_g1_i1	TRINITY_DN26757_c8_g1_i1^PIP2_PEA
TRINITY_DN2678_c0_g1_i3	TRINITY_DN2678_c0_g1_i3^C76BA_SWEMU^p450
TRINITY_DN2680_c0_g1_i16	TRINITY_DN2680_c0_g1_i16^2ABB_ORYSI
TRINITY_DN2686_c0_g1_i16	TRINITY_DN2686_c0_g1_i16^AT_hook
TRINITY_DN2689_c2_g1_i3	TRINITY_DN2689_c2_g1_i3^ATL65_ARATH^zf-RING_2
TRINITY_DN268_c0_g1_i58	TRINITY_DN268_c0_g1_i58^SDIR1_ARATH^zf-RING_2
TRINITY_DN2691_c0_g1_i7	TRINITY_DN2691_c0_g1_i7^PCRK1_ARATH^Pkinase
TRINITY_DN26937_c0_g2_i1	TRINITY_DN26937_c0_g2_i1^IBMP_FMVD
TRINITY_DN26946_c0_g2_i16	TRINITY_DN26946_c0_g2_i16^APG3_ARATH^PCRF
TRINITY_DN2697_c0_g1_i3	TRINITY_DN2697_c0_g1_i3^ERV1_ARATH^Evr1_Alr
TRINITY_DN269_c0_g1_i3	TRINITY_DN269_c0_g1_i3^CAAT2_ARATH
TRINITY_DN269_c4_g1_i1	TRINITY_DN269_c4_g1_i1^POL3_DROME^RRPO_OENBE^Integrase_H2C2^RVT_1
TRINITY_DN26_c0_g1_i35	TRINITY_DN26_c0_g1_i35^ANT_ARATH^AP2
TRINITY_DN2701_c0_g1_i27	TRINITY_DN2701_c0_g1_i27^BCCIP_ARATH^BCCIP
TRINITY_DN2702_c0_g1_i14	TRINITY_DN2702_c0_g1_i14^ACL5_ARATH^QORX_HUMAN^ADH_N^Spermine_synt_N
TRINITY_DN27049_c0_g1_i1	TRINITY_DN27049_c0_g1_i1^SUN5_ARATH^Sad1_UNC
TRINITY_DN2704_c0_g1_i27	TRINITY_DN2704_c0_g1_i27^CCR4E_ARATH
TRINITY_DN2706_c0_g1_i6	TRINITY_DN2706_c0_g1_i6^AXEP_POPTR^MR_MLE_N
TRINITY_DN2707_c0_g1_i1	TRINITY_DN2707_c0_g1_i1^Y4729_ARATH^B_lectin
TRINITY_DN27084_c0_g1_i2	TRINITY_DN27084_c0_g1_i2^RVT_3
TRINITY_DN27090_c0_g1_i4	TRINITY_DN27090_c0_g1_i4^CHX15_ARATH^Na_H_Exchanger
TRINITY_DN270_c1_g2_i1	TRINITY_DN270_c1_g2_i1^P2C27_ORYSJ^PP2C
TRINITY_DN27104_c0_g1_i1	TRINITY_DN27104_c0_g1_i1^zf-RVT
TRINITY_DN2710_c0_g1_i1	TRINITY_DN2710_c0_g1_i1^DUF1644
TRINITY_DN2712_c0_g1_i20	TRINITY_DN2712_c0_g1_i20^BUD32_DICDI^RIO1
TRINITY_DN2715_c0_g1_i1	TRINITY_DN2715_c0_g1_i1^FB271_ARATH^F-box
TRINITY_DN2718_c0_g1_i26	TRINITY_DN2718_c0_g1_i26^AAP8_ARATH^Aa_trans
TRINITY_DN271_c0_g1_i5	TRINITY_DN271_c0_g1_i5^NCLN_MOUSE^Nicastrin
TRINITY_DN27206_c0_g1_i2	TRINITY_DN27206_c0_g1_i2^Y5188_ARATH^PK_Tyr_Ser-Thr
TRINITY_DN2724_c0_g3_i1	TRINITY_DN2724_c0_g3_i1^RK32_LOTJA
TRINITY_DN2725_c2_g1_i1	TRINITY_DN2725_c2_g1_i1^Transposase_24
TRINITY_DN2726_c1_g1_i14	TRINITY_DN2726_c1_g1_i14^DUF4050
TRINITY_DN27296_c0_g3_i3	TRINITY_DN27296_c0_g3_i3^NET1A_ARATH
TRINITY_DN27297_c0_g1_i6	TRINITY_DN27297_c0_g1_i6^DTX46_ARATH
TRINITY_DN272_c1_g1_i1	TRINITY_DN272_c1_g1_i1^RFC5_ARATH
TRINITY_DN2735_c0_g1_i13	TRINITY_DN2735_c0_g1_i13^Y1439_ARATH^BTB
TRINITY_DN27363_c0_g1_i5	TRINITY_DN27363_c0_g1_i5^Rx_N
TRINITY_DN27369_c0_g1_i1	TRINITY_DN27369_c0_g1_i1^zf-CCHC
TRINITY_DN2736_c0_g1_i3	TRINITY_DN2736_c0_g1_i3^XPF_ARATH
TRINITY_DN27373_c0_g3_i1	TRINITY_DN27373_c0_g3_i1^MY102_ARATH^Myb_DNA-binding
TRINITY_DN27382_c0_g1_i3	TRINITY_DN27382_c0_g1_i3^Y4967_ARATH^GFO_IDH_MocA
TRINITY_DN27382_c0_g2_i1	TRINITY_DN27382_c0_g2_i1^H32_MEDSA
TRINITY_DN27383_c0_g1_i1	TRINITY_DN27383_c0_g1_i1^NAT1_ARATH^Xan_ur_permease
TRINITY_DN27391_c0_g1_i1	TRINITY_DN27391_c0_g1_i1^rve
TRINITY_DN2739_c0_g1_i18	TRINITY_DN2739_c0_g1_i18^MATH
TRINITY_DN2742_c0_g1_i14	TRINITY_DN2742_c0_g1_i14^Y5262_ARATH^Ank_2
TRINITY_DN27469_c0_g1_i1	TRINITY_DN27469_c0_g1_i1^RL40_NICSY
TRINITY_DN2746_c0_g1_i36	TRINITY_DN2746_c0_g1_i36^NOM1_HUMAN^MIF4G
TRINITY_DN2748_c0_g1_i6	TRINITY_DN2748_c0_g1_i6^LPAT5_ARATH^Acyltransferase
TRINITY_DN2749_c0_g1_i2	TRINITY_DN2749_c0_g1_i2^AB7G_ARATH^ABC_tran
TRINITY_DN2752_c0_g1_i2	TRINITY_DN2752_c0_g1_i2^RABA3_ARATH^Arf
TRINITY_DN2754_c0_g1_i4	TRINITY_DN2754_c0_g1_i4^PI5K1_ARATH^MORN
TRINITY_DN2759_c0_g1_i32	TRINITY_DN2759_c0_g1_i32^LRL11_ARATH^Pkinase
TRINITY_DN275_c0_g1_i38	TRINITY_DN275_c0_g1_i38^NHX7_ARATH^Na_H_Exchanger
TRINITY_DN27616_c0_g2_i1	TRINITY_DN27616_c0_g2_i1^Ty3_capsid
TRINITY_DN27636_c0_g1_i2	TRINITY_DN27636_c0_g1_i2^Transposase_21
TRINITY_DN2763_c0_g1_i8	TRINITY_DN2763_c0_g1_i8^PI5K4_ARATH^MORN
TRINITY_DN2763_c11_g2_i1	TRINITY_DN2763_c11_g2_i1^ADH1_TRIRP
TRINITY_DN2763_c17_g1_i1	TRINITY_DN2763_c17_g1_i1^ADH1_PEA
TRINITY_DN2763_c1_g3_i3	TRINITY_DN2763_c1_g3_i3^75L17_MALDO^UDPGT
TRINITY_DN2764_c0_g1_i14	TRINITY_DN2764_c0_g1_i14^EF1A_ORYSJ^GTP_EFTU
TRINITY_DN2764_c0_g1_i3	TRINITY_DN2764_c0_g1_i3^EF1A_ORYSJ^GTP_EFTU
TRINITY_DN2764_c0_g1_i4	TRINITY_DN2764_c0_g1_i4^EF1A_ORYSJ^GTP_EFTU
TRINITY_DN2766_c0_g1_i10	TRINITY_DN2766_c0_g1_i10^FYPP_PEA^Metallophos
TRINITY_DN27687_c0_g1_i1	TRINITY_DN27687_c0_g1_i1^NT-C2
TRINITY_DN2768_c0_g1_i7	TRINITY_DN2768_c0_g1_i7^FERON_ARATH^Malectin_like
