SOAP.k25.C390845	SOAP.k25.C390845^WRK27_ARATH
SPADES.k65.NODE_27137_length_1003_cov_35.555437_g16654_i0	SPADES.k65.NODE_27137_length_1003_cov_35.555437_g16654_i0^F6H_MENPI^p450
SPADES.k65.NODE_27218_length_999_cov_42.682013_g16697_i0	SPADES.k65.NODE_27218_length_999_cov_42.682013_g16697_i0^CMTA1_ARATH
SPADES.k65.NODE_2733_length_3164_cov_51.605357_g1696_i1	SPADES.k65.NODE_2733_length_3164_cov_51.605357_g1696_i1^PIGO_HUMAN^Phosphodiest
SPADES.k65.NODE_27448_length_988_cov_65.516793_g3344_i1	SPADES.k65.NODE_27448_length_988_cov_65.516793_g3344_i1^DI194_ARATH^zf-Di19
SPADES.k65.NODE_2759_length_3155_cov_61.883172_g1906_i0	SPADES.k65.NODE_2759_length_3155_cov_61.883172_g1906_i0^HSP7R_ARATH^HSP70
SPADES.k65.NODE_27644_length_980_cov_36.237158_g16943_i0	SPADES.k65.NODE_27644_length_980_cov_36.237158_g16943_i0^QWRF9_ARATH^QWRF
SPADES.k65.NODE_27733_length_976_cov_37.425906_g17000_i0	SPADES.k65.NODE_27733_length_976_cov_37.425906_g17000_i0^JMT2_THECC^Methyltransf_7
SPADES.k65.NODE_2834_length_3132_cov_43.125530_g1959_i0	SPADES.k65.NODE_2834_length_3132_cov_43.125530_g1959_i0^PPR18_ARATH^PPR^PPR_2
SPADES.k65.NODE_28391_length_944_cov_52.060296_g12881_i2	SPADES.k65.NODE_28391_length_944_cov_52.060296_g12881_i2^ACCO3_CUCME
SPADES.k65.NODE_2848_length_3127_cov_59.196930_g1968_i0	SPADES.k65.NODE_2848_length_3127_cov_59.196930_g1968_i0^LCBK1_ARATH^DAGK_cat
SPADES.k65.NODE_28853_length_922_cov_54.322054_g16329_i1	SPADES.k65.NODE_28853_length_922_cov_54.322054_g16329_i1^RM02_ARATH^Ribosomal_L2
SPADES.k65.NODE_28975_length_917_cov_19.208920_g17784_i0	SPADES.k65.NODE_28975_length_917_cov_19.208920_g17784_i0^LRR_1
SPADES.k65.NODE_29000_length_916_cov_42.786134_g17799_i0	SPADES.k65.NODE_29000_length_916_cov_42.786134_g17799_i0^NHP2_ARATH
SPADES.k65.NODE_2900_length_3113_cov_38.908465_g2006_i0	SPADES.k65.NODE_2900_length_3113_cov_38.908465_g2006_i0^PPR6_ARATH^PPR
SPADES.k65.NODE_29078_length_912_cov_60.407320_g17860_i0	SPADES.k65.NODE_29078_length_912_cov_60.407320_g17860_i0^PSAN_ARATH^PsaN
SPADES.k65.NODE_29083_length_912_cov_52.138135_g12862_i1	SPADES.k65.NODE_29083_length_912_cov_52.138135_g12862_i1^NAA50_BOVIN^Acetyltransf_1
SPADES.k65.NODE_29306_length_903_cov_30.902148_g17986_i0	SPADES.k65.NODE_29306_length_903_cov_30.902148_g17986_i0^Rav1p_C
SPADES.k65.NODE_29330_length_902_cov_28.688172_g18002_i0	SPADES.k65.NODE_29330_length_902_cov_28.688172_g18002_i0^Y3216_ORYSJ^B3
SPADES.k65.NODE_29337_length_902_cov_9.292712_g18008_i0	SPADES.k65.NODE_29337_length_902_cov_9.292712_g18008_i0^CSC1_ARATH^RSN1_7TM
SPADES.k65.NODE_29397_length_899_cov_37.667866_g18051_i0	SPADES.k65.NODE_29397_length_899_cov_37.667866_g18051_i0^Extensin_1
SPADES.k65.NODE_29462_length_896_cov_26.134777_g18087_i0	SPADES.k65.NODE_29462_length_896_cov_26.134777_g18087_i0^LRK92_ARATH^PK_Tyr_Ser-Thr
SPADES.k65.NODE_29533_length_893_cov_26.121981_g18134_i0	SPADES.k65.NODE_29533_length_893_cov_26.121981_g18134_i0^DUF761
SPADES.k65.NODE_29619_length_889_cov_46.572816_g18192_i0	SPADES.k65.NODE_29619_length_889_cov_46.572816_g18192_i0^R18A2_ARATH^Ribosomal_L18A
SPADES.k65.NODE_29656_length_887_cov_53.046229_g18221_i0	SPADES.k65.NODE_29656_length_887_cov_53.046229_g18221_i0^Thioredoxin
SPADES.k65.NODE_29681_length_887_cov_9.098540_g18238_i0	SPADES.k65.NODE_29681_length_887_cov_9.098540_g18238_i0^AHL16_ARATH^PCC
SPADES.k65.NODE_30072_length_871_cov_11.485112_g18501_i0	SPADES.k65.NODE_30072_length_871_cov_11.485112_g18501_i0^PPR52_ARATH^PPR
SPADES.k65.NODE_30120_length_869_cov_16.769900_g18533_i0	SPADES.k65.NODE_30120_length_869_cov_16.769900_g18533_i0^AB5C_ARATH^ABC_tran
SPADES.k65.NODE_30410_length_857_cov_35.195707_g18731_i0	SPADES.k65.NODE_30410_length_857_cov_35.195707_g18731_i0^RTH_ARATH
SPADES.k65.NODE_30702_length_845_cov_26.062821_g18939_i0	SPADES.k65.NODE_30702_length_845_cov_26.062821_g18939_i0^Y1141_ARATH^Pkinase
SPADES.k65.NODE_30710_length_844_cov_61.944801_g18946_i0	SPADES.k65.NODE_30710_length_844_cov_61.944801_g18946_i0^ALL13_OLEEU^Thaumatin
SPADES.k65.NODE_30727_length_844_cov_11.259307_g18957_i0	SPADES.k65.NODE_30727_length_844_cov_11.259307_g18957_i0^PP336_ARATH
SPADES.k65.NODE_30814_length_840_cov_39.793548_g19019_i0	SPADES.k65.NODE_30814_length_840_cov_39.793548_g19019_i0^COB21_ARATH^WD40
SPADES.k65.NODE_30920_length_835_cov_61.696104_g7497_i1	SPADES.k65.NODE_30920_length_835_cov_61.696104_g7497_i1^THEG
SPADES.k65.NODE_30991_length_832_cov_68.543677_g14860_i1	SPADES.k65.NODE_30991_length_832_cov_68.543677_g14860_i1^RTH_ARATH^DUF778
SPADES.k65.NODE_31006_length_832_cov_40.020860_g19143_i0	SPADES.k65.NODE_31006_length_832_cov_40.020860_g19143_i0^DUF674
SPADES.k65.NODE_31109_length_827_cov_54.582677_g19215_i0	SPADES.k65.NODE_31109_length_827_cov_54.582677_g19215_i0^PKS4_ARATH
SPADES.k65.NODE_3110_length_3047_cov_51.709591_g2159_i0	SPADES.k65.NODE_3110_length_3047_cov_51.709591_g2159_i0^LDL2_ARATH^SWIRM
SPADES.k65.NODE_31162_length_825_cov_32.739474_g19260_i0	SPADES.k65.NODE_31162_length_825_cov_32.739474_g19260_i0^AAP3_ARATH^Aa_trans
SPADES.k65.NODE_3119_length_3045_cov_39.833893_g436_i2	SPADES.k65.NODE_3119_length_3045_cov_39.833893_g436_i2^Retrotrans_gag
SPADES.k65.NODE_31231_length_822_cov_19.180978_g19308_i0	SPADES.k65.NODE_31231_length_822_cov_19.180978_g19308_i0^MANA2_ARATH^Glyco_hydro_38C
SPADES.k65.NODE_31267_length_820_cov_55.643709_g19338_i0	SPADES.k65.NODE_31267_length_820_cov_55.643709_g19338_i0^LRR_1
SPADES.k65.NODE_31559_length_809_cov_23.290323_g19540_i0	SPADES.k65.NODE_31559_length_809_cov_23.290323_g19540_i0^GUB_WAK_bind
SPADES.k65.NODE_31744_length_801_cov_34.672554_g19681_i0	SPADES.k65.NODE_31744_length_801_cov_34.672554_g19681_i0^POLR1_ARATH^RVT_2
SPADES.k65.NODE_31753_length_801_cov_7.941576_g19689_i0	SPADES.k65.NODE_31753_length_801_cov_7.941576_g19689_i0^RT_RNaseH_2
SPADES.k65.NODE_31913_length_793_cov_49.418956_g7160_i2	SPADES.k65.NODE_31913_length_793_cov_49.418956_g7160_i2^WTR10_ARATH
SPADES.k65.NODE_31921_length_793_cov_31.263736_g19809_i0	SPADES.k65.NODE_31921_length_793_cov_31.263736_g19809_i0^PPO_MALDO^PPO1_DWL
SPADES.k65.NODE_3199_length_3021_cov_50.283153_g2056_i1	SPADES.k65.NODE_3199_length_3021_cov_50.283153_g2056_i1^BMS1_HUMAN^AARP2CN
SPADES.k65.NODE_32188_length_783_cov_15.034819_g20005_i0	SPADES.k65.NODE_32188_length_783_cov_15.034819_g20005_i0^BRCT_3
SPADES.k65.NODE_32277_length_779_cov_27.109244_g20065_i0	SPADES.k65.NODE_32277_length_779_cov_27.109244_g20065_i0^NAC47_ARATH^NAM
SPADES.k65.NODE_3264_length_3001_cov_58.447888_g2256_i0	SPADES.k65.NODE_3264_length_3001_cov_58.447888_g2256_i0^Thioredoxin
SPADES.k65.NODE_32758_length_760_cov_29.211511_g20438_i0	SPADES.k65.NODE_32758_length_760_cov_29.211511_g20438_i0^PP320_ARATH
SPADES.k65.NODE_33128_length_745_cov_41.563235_g20726_i0	SPADES.k65.NODE_33128_length_745_cov_41.563235_g20726_i0^CDR1_ARATH^TAXi_N
SPADES.k65.NODE_33178_length_743_cov_23.671091_g20766_i0	SPADES.k65.NODE_33178_length_743_cov_23.671091_g20766_i0^PER52_ARATH^peroxidase
SPADES.k65.NODE_33331_length_736_cov_15.818182_g20889_i0	SPADES.k65.NODE_33331_length_736_cov_15.818182_g20889_i0^CRK2_ARATH^Stress-antifung
SPADES.k65.NODE_33654_length_722_cov_38.706240_g21151_i0	SPADES.k65.NODE_33654_length_722_cov_38.706240_g21151_i0^RL44_GOSHI
SPADES.k65.NODE_33790_length_717_cov_22.779141_g21260_i0	SPADES.k65.NODE_33790_length_717_cov_22.779141_g21260_i0^VPS9A_ARATH^VPS9
SPADES.k65.NODE_3385_length_2969_cov_57.961433_g2341_i0	SPADES.k65.NODE_3385_length_2969_cov_57.961433_g2341_i0^NOC3_ARATH^NOC3p
SPADES.k65.NODE_33895_length_714_cov_13.884438_g21347_i0	SPADES.k65.NODE_33895_length_714_cov_13.884438_g21347_i0^POLX_TOBAC
SPADES.k65.NODE_33995_length_710_cov_10.627907_g21435_i0	SPADES.k65.NODE_33995_length_710_cov_10.627907_g21435_i0^PP219_ARATH^PPR
SPADES.k65.NODE_34075_length_707_cov_15.031153_g21500_i0	SPADES.k65.NODE_34075_length_707_cov_15.031153_g21500_i0^SCC11_ARATH
SPADES.k65.NODE_34344_length_697_cov_21.291139_g21722_i0	SPADES.k65.NODE_34344_length_697_cov_21.291139_g21722_i0^TMVRN_NICGU^LRR_1
SPADES.k65.NODE_34482_length_692_cov_10.258373_g21839_i0	SPADES.k65.NODE_34482_length_692_cov_10.258373_g21839_i0^NOV_ARATH
SPADES.k65.NODE_34744_length_681_cov_51.038961_g22072_i0	SPADES.k65.NODE_34744_length_681_cov_51.038961_g22072_i0^HSP11_PEA^HSP20
SPADES.k65.NODE_3475_length_2951_cov_35.569993_g2121_i1	SPADES.k65.NODE_3475_length_2951_cov_35.569993_g2121_i1^AB39G_ARATH^ABC2_membrane
SPADES.k65.NODE_34764_length_681_cov_14.154221_g22087_i0	SPADES.k65.NODE_34764_length_681_cov_14.154221_g22087_i0^CSCLC_ARATH^RSN1_7TM
SPADES.k65.NODE_3486_length_2949_cov_50.230236_g2411_i0	SPADES.k65.NODE_3486_length_2949_cov_50.230236_g2411_i0^Pollen_Ole_e_1
SPADES.k65.NODE_34948_length_674_cov_45.816092_g22244_i0	SPADES.k65.NODE_34948_length_674_cov_45.816092_g22244_i0^SKP1A_ARATH^Skp1_POZ
SPADES.k65.NODE_3517_length_2942_cov_56.980188_g2429_i0	SPADES.k65.NODE_3517_length_2942_cov_56.980188_g2429_i0^RNR1_ARATH^RNB
SPADES.k65.NODE_35215_length_664_cov_36.402337_g19616_i1	SPADES.k65.NODE_35215_length_664_cov_36.402337_g19616_i1^Bet_v_1
SPADES.k65.NODE_35240_length_663_cov_27.670569_g22498_i0	SPADES.k65.NODE_35240_length_663_cov_27.670569_g22498_i0^HAK5_ORYSJ
SPADES.k65.NODE_35410_length_657_cov_46.072635_g22655_i0	SPADES.k65.NODE_35410_length_657_cov_46.072635_g22655_i0^AMT32_ORYSJ^Ammonium_transp
SPADES.k65.NODE_35443_length_656_cov_29.901861_g22684_i0	SPADES.k65.NODE_35443_length_656_cov_29.901861_g22684_i0^PDDEXK_6
SPADES.k65.NODE_3574_length_2924_cov_60.341728_g2474_i0	SPADES.k65.NODE_3574_length_2924_cov_60.341728_g2474_i0^MA656_ARATH^MAP65_ASE1
SPADES.k65.NODE_359_length_5157_cov_43.414768_g233_i0	SPADES.k65.NODE_359_length_5157_cov_43.414768_g233_i0^MYO15_ARATH^Myosin_N
SPADES.k65.NODE_36091_length_634_cov_7.087873_g23269_i0	SPADES.k65.NODE_36091_length_634_cov_7.087873_g23269_i0^Retrotran_gag_2
SPADES.k65.NODE_3613_length_2913_cov_49.807935_g2501_i0	SPADES.k65.NODE_3613_length_2913_cov_49.807935_g2501_i0^DPOD1_ORYSJ^DNA_pol_B_exo1
SPADES.k65.NODE_36151_length_631_cov_104.007067_g5304_i3	SPADES.k65.NODE_36151_length_631_cov_104.007067_g5304_i3^TAR1_KLULA
SPADES.k65.NODE_36283_length_628_cov_7.444050_g23438_i0	SPADES.k65.NODE_36283_length_628_cov_7.444050_g23438_i0^zf-BED
SPADES.k65.NODE_36313_length_627_cov_10.985765_g23467_i0	SPADES.k65.NODE_36313_length_627_cov_10.985765_g23467_i0^LRRNT_2
SPADES.k65.NODE_36389_length_624_cov_25.361360_g23539_i0	SPADES.k65.NODE_36389_length_624_cov_25.361360_g23539_i0^PP312_ARATH^E_motif
SPADES.k65.NODE_36698_length_614_cov_27.724954_g23824_i0	SPADES.k65.NODE_36698_length_614_cov_27.724954_g23824_i0^RSZ33_ARATH
SPADES.k65.NODE_36713_length_614_cov_7.140255_g23838_i0	SPADES.k65.NODE_36713_length_614_cov_7.140255_g23838_i0^C1_2
SPADES.k65.NODE_36912_length_608_cov_10.267035_g24028_i0	SPADES.k65.NODE_36912_length_608_cov_10.267035_g24028_i0^FBL3_ARATH^LRR_6
SPADES.k65.NODE_3706_length_2894_cov_42.742312_g2556_i0	SPADES.k65.NODE_3706_length_2894_cov_42.742312_g2556_i0^PPR40_ARATH^PPR
SPADES.k65.NODE_37164_length_599_cov_43.168539_g24258_i0	SPADES.k65.NODE_37164_length_599_cov_43.168539_g24258_i0^RADL6_ARATH^Myb_DNA-binding
SPADES.k65.NODE_37385_length_593_cov_10.299242_g24472_i0	SPADES.k65.NODE_37385_length_593_cov_10.299242_g24472_i0^POLR2_ARATH
SPADES.k65.NODE_37525_length_588_cov_6.711281_g24609_i0	SPADES.k65.NODE_37525_length_588_cov_6.711281_g24609_i0^zf-RVT
SPADES.k65.NODE_37552_length_587_cov_5.233716_g24635_i0	SPADES.k65.NODE_37552_length_587_cov_5.233716_g24635_i0^PER15_IPOBA
SPADES.k65.NODE_37705_length_582_cov_12.446809_g24779_i0	SPADES.k65.NODE_37705_length_582_cov_12.446809_g24779_i0^LORF2_HUMAN^RVT_1
SPADES.k65.NODE_377_length_5104_cov_53.727525_g242_i0	SPADES.k65.NODE_377_length_5104_cov_53.727525_g242_i0^AQR_MOUSE^Aquarius_N_1st
SPADES.k65.NODE_3785_length_2874_cov_46.448202_g2615_i0	SPADES.k65.NODE_3785_length_2874_cov_46.448202_g2615_i0^FRS3_ARATH^ZSWIM1-3_RNaseH-like
SPADES.k65.NODE_3794_length_2870_cov_53.617469_g2375_i1	SPADES.k65.NODE_3794_length_2870_cov_53.617469_g2375_i1^TT9_ARATH^FPL
SPADES.k65.NODE_3817_length_2866_cov_47.085684_g2635_i0	SPADES.k65.NODE_3817_length_2866_cov_47.085684_g2635_i0^XPO7B_XENLA
SPADES.k65.NODE_38261_length_565_cov_22.962000_g25317_i0	SPADES.k65.NODE_38261_length_565_cov_22.962000_g25317_i0^NOV_ARATH
SPADES.k65.NODE_38378_length_562_cov_19.384306_g25432_i0	SPADES.k65.NODE_38378_length_562_cov_19.384306_g25432_i0^YCX91_PHAAO
SPADES.k65.NODE_38636_length_554_cov_28.936605_g25678_i0	SPADES.k65.NODE_38636_length_554_cov_28.936605_g25678_i0^PUM9_ARATH^PUF
SPADES.k65.NODE_3877_length_2853_cov_38.017217_g2668_i0	SPADES.k65.NODE_3877_length_2853_cov_38.017217_g2668_i0^APSR1_ARATH^DUF630
SPADES.k65.NODE_3905_length_2846_cov_47.297015_g2685_i0	SPADES.k65.NODE_3905_length_2846_cov_47.297015_g2685_i0^FERON_ARATH^Malectin_like
SPADES.k65.NODE_39133_length_540_cov_32.642105_g26164_i0	SPADES.k65.NODE_39133_length_540_cov_32.642105_g26164_i0^DMP3_ARATH^DUF679
SPADES.k65.NODE_39257_length_537_cov_16.171610_g26283_i0	SPADES.k65.NODE_39257_length_537_cov_16.171610_g26283_i0^HCT1_ACTRA^Transferase
SPADES.k65.NODE_39263_length_537_cov_10.730932_g26289_i0	SPADES.k65.NODE_39263_length_537_cov_10.730932_g26289_i0^ACT2_ORYSI^Actin
SPADES.k65.NODE_3950_length_2833_cov_55.148844_g605_i2	SPADES.k65.NODE_3950_length_2833_cov_55.148844_g605_i2^RCD1_ARATH^RST
SPADES.k65.NODE_39575_length_528_cov_38.248380_g26597_i0	SPADES.k65.NODE_39575_length_528_cov_38.248380_g26597_i0^RS24_ARATH^Ribosomal_S5
SPADES.k65.NODE_39617_length_528_cov_3.917927_g26639_i0	SPADES.k65.NODE_39617_length_528_cov_3.917927_g26639_i0^KN6_ARATH^Kinesin
SPADES.k65.NODE_39630_length_527_cov_22.484848_g26651_i0	SPADES.k65.NODE_39630_length_527_cov_22.484848_g26651_i0^LPXK_ARATH^LpxK
SPADES.k65.NODE_39757_length_524_cov_10.398693_g26775_i0	SPADES.k65.NODE_39757_length_524_cov_10.398693_g26775_i0^RNHX1_ARATH
SPADES.k65.NODE_4008_length_2823_cov_51.063089_g2761_i0	SPADES.k65.NODE_4008_length_2823_cov_51.063089_g2761_i0^C2D61_ARATH^C2
SPADES.k65.NODE_40276_length_512_cov_45.131991_g27287_i0	SPADES.k65.NODE_40276_length_512_cov_45.131991_g27287_i0^FERON_ARATH^PK_Tyr_Ser-Thr
SPADES.k65.NODE_40313_length_511_cov_60.067265_g27324_i0	SPADES.k65.NODE_40313_length_511_cov_60.067265_g27324_i0^IBB_ERYVA^Bowman-Birk_leg
SPADES.k65.NODE_40322_length_511_cov_34.040359_g27333_i0	SPADES.k65.NODE_40322_length_511_cov_34.040359_g27333_i0^AT_hook
SPADES.k65.NODE_40386_length_510_cov_16.516854_g27395_i0	SPADES.k65.NODE_40386_length_510_cov_16.516854_g27395_i0^LIN_MEDTR^WD40
SPADES.k65.NODE_40455_length_509_cov_4.346847_g27464_i0	SPADES.k65.NODE_40455_length_509_cov_4.346847_g27464_i0^PRP16_ARATH
SPADES.k65.NODE_40519_length_507_cov_11.809955_g27526_i0	SPADES.k65.NODE_40519_length_507_cov_11.809955_g27526_i0^Retrotran_gag_2
SPADES.k65.NODE_40621_length_505_cov_9.379545_g27628_i0	SPADES.k65.NODE_40621_length_505_cov_9.379545_g27628_i0^RGA3_SOLBU^NB-ARC
SPADES.k65.NODE_40767_length_502_cov_9.011442_g27773_i0	SPADES.k65.NODE_40767_length_502_cov_9.011442_g27773_i0^R13L1_ARATH^NB-ARC
SPADES.k65.NODE_40855_length_500_cov_14.931034_g27861_i0	SPADES.k65.NODE_40855_length_500_cov_14.931034_g27861_i0^AB10C_ARATH^ABC_tran
SPADES.k65.NODE_4122_length_2801_cov_53.592105_g2837_i0	SPADES.k65.NODE_4122_length_2801_cov_53.592105_g2837_i0^PUM23_ARATH^PUF
SPADES.k65.NODE_41230_length_493_cov_8.004673_g28234_i0	SPADES.k65.NODE_41230_length_493_cov_8.004673_g28234_i0^RDR1_ARATH^RdRP
SPADES.k65.NODE_41824_length_480_cov_40.510843_g28826_i0	SPADES.k65.NODE_41824_length_480_cov_40.510843_g28826_i0^GLPK_BRADU
SPADES.k65.NODE_41903_length_479_cov_16.557971_g28905_i0	SPADES.k65.NODE_41903_length_479_cov_16.557971_g28905_i0^RVT_3
SPADES.k65.NODE_42105_length_476_cov_8.571776_g29104_i0	SPADES.k65.NODE_42105_length_476_cov_8.571776_g29104_i0^PQQL_ARATH^Peptidase_M16
SPADES.k65.NODE_42195_length_474_cov_42.647922_g29194_i0	SPADES.k65.NODE_42195_length_474_cov_42.647922_g29194_i0^MIFH_TRISP^MIF
SPADES.k65.NODE_42263_length_473_cov_19.840686_g29262_i0	SPADES.k65.NODE_42263_length_473_cov_19.840686_g29262_i0^AOC_ORYSI^Allene_ox_cyc
SPADES.k65.NODE_42278_length_473_cov_12.666667_g29277_i0	SPADES.k65.NODE_42278_length_473_cov_12.666667_g29277_i0^P2C04_ARATH
SPADES.k65.NODE_42474_length_469_cov_14.121287_g29473_i0	SPADES.k65.NODE_42474_length_469_cov_14.121287_g29473_i0^AB14C_ARATH
SPADES.k65.NODE_42480_length_469_cov_10.643564_g29479_i0	SPADES.k65.NODE_42480_length_469_cov_10.643564_g29479_i0^NO93_SOYBN^ENOD93
SPADES.k65.NODE_42486_length_469_cov_7.893564_g29485_i0	SPADES.k65.NODE_42486_length_469_cov_7.893564_g29485_i0^PYRG_ENTFA^CTP_synth_N
SPADES.k65.NODE_42623_length_466_cov_23.481297_g29621_i0	SPADES.k65.NODE_42623_length_466_cov_23.481297_g29621_i0^RKS1_ARATH^PK_Tyr_Ser-Thr
SPADES.k65.NODE_42669_length_465_cov_40.082500_g29667_i0	SPADES.k65.NODE_42669_length_465_cov_40.082500_g29667_i0^RDRP_CMVMB^RdRP_2
SPADES.k65.NODE_42681_length_465_cov_20.172500_g29679_i0	SPADES.k65.NODE_42681_length_465_cov_20.172500_g29679_i0^UVRA_STRAW
SPADES.k65.NODE_4271_length_2769_cov_47.551036_g2938_i0	SPADES.k65.NODE_4271_length_2769_cov_47.551036_g2938_i0^ACOX1_ARATH^Acyl-CoA_ox_N
SPADES.k65.NODE_42766_length_464_cov_8.210526_g29763_i0	SPADES.k65.NODE_42766_length_464_cov_8.210526_g29763_i0^AB5B_ARATH^ABC_membrane
SPADES.k65.NODE_42984_length_460_cov_31.235443_g29981_i0	SPADES.k65.NODE_42984_length_460_cov_31.235443_g29981_i0^AVP_VIGRR
SPADES.k65.NODE_4300_length_2762_cov_65.157212_g1142_i1	SPADES.k65.NODE_4300_length_2762_cov_65.157212_g1142_i1^RING3_ARATH^zf-rbx1
SPADES.k65.NODE_43137_length_458_cov_11.687023_g30133_i0	SPADES.k65.NODE_43137_length_458_cov_11.687023_g30133_i0^CAAT2_ARATH
SPADES.k65.NODE_43202_length_457_cov_29.392857_g30198_i0	SPADES.k65.NODE_43202_length_457_cov_29.392857_g30198_i0^ACD2_MYCTU^Acyl-CoA_dh_1
SPADES.k65.NODE_43609_length_451_cov_5.536269_g30599_i0	SPADES.k65.NODE_43609_length_451_cov_5.536269_g30599_i0^MYB2_ORYSJ
SPADES.k65.NODE_43654_length_450_cov_10.410390_g30644_i0	SPADES.k65.NODE_43654_length_450_cov_10.410390_g30644_i0^POL3_DROME^RVT_1
SPADES.k65.NODE_4417_length_2740_cov_51.442991_g2742_i1	SPADES.k65.NODE_4417_length_2740_cov_51.442991_g2742_i1^TIPRL_ARATH^ZFP7_ARATH^TIP41^zf-C2H2_6
SPADES.k65.NODE_44248_length_440_cov_14.858667_g31237_i0	SPADES.k65.NODE_44248_length_440_cov_14.858667_g31237_i0^PERK1_ARATH
SPADES.k65.NODE_44589_length_435_cov_2.570270_g31578_i0	SPADES.k65.NODE_44589_length_435_cov_2.570270_g31578_i0^POLX_TOBAC^RVT_2
SPADES.k65.NODE_4458_length_2732_cov_53.377203_g3058_i0	SPADES.k65.NODE_4458_length_2732_cov_53.377203_g3058_i0^VIL1_ARATH^PHD_Oberon
SPADES.k65.NODE_44767_length_432_cov_7.084469_g31756_i0	SPADES.k65.NODE_44767_length_432_cov_7.084469_g31756_i0^PP316_ARATH^E_motif
SPADES.k65.NODE_45325_length_423_cov_7.916201_g32314_i0	SPADES.k65.NODE_45325_length_423_cov_7.916201_g32314_i0^ALA1_ARATH^PhoLip_ATPase_N
SPADES.k65.NODE_45399_length_422_cov_5.366947_g32388_i0	SPADES.k65.NODE_45399_length_422_cov_5.366947_g32388_i0^POLR2_ARATH
SPADES.k65.NODE_45523_length_420_cov_12.078873_g32512_i0	SPADES.k65.NODE_45523_length_420_cov_12.078873_g32512_i0^RHG1A_ARATH
SPADES.k65.NODE_45554_length_419_cov_45.031073_g32543_i0	SPADES.k65.NODE_45554_length_419_cov_45.031073_g32543_i0^CST12_ARATH
SPADES.k65.NODE_45667_length_418_cov_7.832861_g32656_i0	SPADES.k65.NODE_45667_length_418_cov_7.832861_g32656_i0^RGA1_SOLBU^NB-ARC
SPADES.k65.NODE_45751_length_417_cov_4.616477_g32740_i0	SPADES.k65.NODE_45751_length_417_cov_4.616477_g32740_i0^IAA17_ARATH^AUX_IAA
SPADES.k65.NODE_462_length_4852_cov_51.964069_g301_i0	SPADES.k65.NODE_462_length_4852_cov_51.964069_g301_i0^Rce1-like
SPADES.k65.NODE_46574_length_404_cov_35.666667_g33563_i0	SPADES.k65.NODE_46574_length_404_cov_35.666667_g33563_i0^AMP-binding
SPADES.k65.NODE_4681_length_2690_cov_47.544381_g3202_i0	SPADES.k65.NODE_4681_length_2690_cov_47.544381_g3202_i0^MFP1_TOBAC
SPADES.k65.NODE_46927_length_399_cov_34.290419_g33916_i0	SPADES.k65.NODE_46927_length_399_cov_34.290419_g33916_i0^zf-BED
SPADES.k65.NODE_4723_length_2681_cov_52.876147_g1532_i1	SPADES.k65.NODE_4723_length_2681_cov_52.876147_g1532_i1^CB60B_ARATH^Calmodulin_bind
SPADES.k65.NODE_47291_length_394_cov_23.486322_g34280_i0	SPADES.k65.NODE_47291_length_394_cov_23.486322_g34280_i0^RT12_PANGI^Ribosom_S12_S23
SPADES.k65.NODE_472_length_4833_cov_50.141359_g309_i0	SPADES.k65.NODE_472_length_4833_cov_50.141359_g309_i0^MED14_ARATH
SPADES.k65.NODE_4735_length_2680_cov_46.511281_g2963_i1	SPADES.k65.NODE_4735_length_2680_cov_46.511281_g2963_i1^NAGLU_ARATH^NAGLU
SPADES.k65.NODE_47655_length_389_cov_16.487654_g34644_i0	SPADES.k65.NODE_47655_length_389_cov_16.487654_g34644_i0^LRR_6
SPADES.k65.NODE_4777_length_2673_cov_43.738497_g3267_i0	SPADES.k65.NODE_4777_length_2673_cov_43.738497_g3267_i0^GRDP-like
SPADES.k65.NODE_47838_length_386_cov_34.168224_g34827_i0	SPADES.k65.NODE_47838_length_386_cov_34.168224_g34827_i0^NRPB4_ARATH^RNA_pol_Rpb4
SPADES.k65.NODE_47841_length_386_cov_31.738318_g34830_i0	SPADES.k65.NODE_47841_length_386_cov_31.738318_g34830_i0^MIOX2_ARATH
SPADES.k65.NODE_47926_length_385_cov_34.134375_g34915_i0	SPADES.k65.NODE_47926_length_385_cov_34.134375_g34915_i0^C3H62_ORYSJ
SPADES.k65.NODE_47930_length_385_cov_29.200000_g34919_i0	SPADES.k65.NODE_47930_length_385_cov_29.200000_g34919_i0^MASY_SOYBN^MS_C
SPADES.k65.NODE_47_length_7574_cov_59.812891_g29_i1	SPADES.k65.NODE_47_length_7574_cov_59.812891_g29_i1^AGDP1_ARATH^Agenet
SPADES.k65.NODE_48024_length_384_cov_35.708464_g35013_i0	SPADES.k65.NODE_48024_length_384_cov_35.708464_g35013_i0^Retrotran_gag_3
SPADES.k65.NODE_48515_length_378_cov_5.476038_g35504_i0	SPADES.k65.NODE_48515_length_378_cov_5.476038_g35504_i0^B56
SPADES.k65.NODE_48548_length_377_cov_22.682692_g35537_i0	SPADES.k65.NODE_48548_length_377_cov_22.682692_g35537_i0^CRS1_ARATH
SPADES.k65.NODE_4859_length_2657_cov_60.323688_g3329_i0	SPADES.k65.NODE_4859_length_2657_cov_60.323688_g3329_i0^ADO1_ARATH^PAS_8
SPADES.k65.NODE_48638_length_376_cov_10.218650_g35627_i0	SPADES.k65.NODE_48638_length_376_cov_10.218650_g35627_i0^gag_pre-integrs
